Postcode,Price,CouncilArea,Suburb,Rooms,BuildingArea,Type,Bedroom2,Bathroom,YearBuilt,Car,Distance,Landsize,zipcode,airbnb_price_mean,airbnb_record_count,airbnb_weekly_price_mean,airbnb_monthly_price_mean,airbnb_review_scores_rating_mean,airbnb_minimum_nights_mean,airbnb_maximum_nights_mean
3067.0,1035000.0,Yarra,Abbotsford,2,79.0,h,2.0,1.0,1900.0,0.0,2.5,156.0,3067.0,130.62403100775194,258.0,605.1521739130435,2187.032258064516,95.28846153846153,4.093023255813954,745.1511627906976
3067.0,1465000.0,Yarra,Abbotsford,3,150.0,h,3.0,2.0,1900.0,0.0,2.5,134.0,3067.0,130.62403100775194,258.0,605.1521739130435,2187.032258064516,95.28846153846153,4.093023255813954,745.1511627906976
3067.0,1600000.0,Yarra,Abbotsford,4,142.0,h,3.0,1.0,2014.0,2.0,2.5,120.0,3067.0,130.62403100775194,258.0,605.1521739130435,2187.032258064516,95.28846153846153,4.093023255813954,745.1511627906976
3067.0,1876000.0,Yarra,Abbotsford,3,210.0,h,4.0,2.0,1910.0,0.0,2.5,245.0,3067.0,130.62403100775194,258.0,605.1521739130435,2187.032258064516,95.28846153846153,4.093023255813954,745.1511627906976
3067.0,1636000.0,Yarra,Abbotsford,2,107.0,h,2.0,1.0,1890.0,2.0,2.5,256.0,3067.0,130.62403100775194,258.0,605.1521739130435,2187.032258064516,95.28846153846153,4.093023255813954,745.1511627906976
3067.0,1097000.0,Yarra,Abbotsford,2,75.0,h,3.0,1.0,1900.0,2.0,2.5,220.0,3067.0,130.62403100775194,258.0,605.1521739130435,2187.032258064516,95.28846153846153,4.093023255813954,745.1511627906976
3067.0,1350000.0,Yarra,Abbotsford,3,190.0,h,3.0,2.0,2005.0,2.0,2.5,214.0,3067.0,130.62403100775194,258.0,605.1521739130435,2187.032258064516,95.28846153846153,4.093023255813954,745.1511627906976
3067.0,1310000.0,Yarra,Abbotsford,2,97.0,h,2.0,1.0,1890.0,2.0,2.5,238.0,3067.0,130.62403100775194,258.0,605.1521739130435,2187.032258064516,95.28846153846153,4.093023255813954,745.1511627906976
3067.0,1200000.0,Yarra,Abbotsford,3,110.0,h,3.0,2.0,1880.0,1.0,2.5,113.0,3067.0,130.62403100775194,258.0,605.1521739130435,2187.032258064516,95.28846153846153,4.093023255813954,745.1511627906976
3067.0,1176500.0,Yarra,Abbotsford,3,105.0,h,2.0,1.0,1890.0,1.0,2.5,138.0,3067.0,130.62403100775194,258.0,605.1521739130435,2187.032258064516,95.28846153846153,4.093023255813954,745.1511627906976
3067.0,890000.0,Yarra,Abbotsford,2,73.0,h,2.0,1.0,1985.0,1.0,2.5,150.0,3067.0,130.62403100775194,258.0,605.1521739130435,2187.032258064516,95.28846153846153,4.093023255813954,745.1511627906976
3067.0,1330000.0,Yarra,Abbotsford,4,135.0,h,4.0,2.0,1900.0,2.0,2.5,780.0,3067.0,130.62403100775194,258.0,605.1521739130435,2187.032258064516,95.28846153846153,4.093023255813954,745.1511627906976
3067.0,1100000.0,Yarra,Abbotsford,2,135.0,h,2.0,2.0,2013.0,1.0,2.5,124.0,3067.0,130.62403100775194,258.0,605.1521739130435,2187.032258064516,95.28846153846153,4.093023255813954,745.1511627906976
3067.0,1315000.0,Yarra,Abbotsford,2,85.0,h,2.0,1.0,1900.0,0.0,2.5,147.0,3067.0,130.62403100775194,258.0,605.1521739130435,2187.032258064516,95.28846153846153,4.093023255813954,745.1511627906976
3067.0,1447500.0,Yarra,Abbotsford,3,174.0,h,3.0,3.0,2012.0,1.0,2.5,166.0,3067.0,130.62403100775194,258.0,605.1521739130435,2187.032258064516,95.28846153846153,4.093023255813954,745.1511627906976
